tag,graph,ratio,seed,test_auc_mean,test_auc_std,test_auc_pr_mean,test_auc_pr_std,test_prevalence_mean,test_prevalence_std,test_p_at_k_mean,test_p_at_k_std,f75_precision_mean,f75_precision_std,f75_recall_mean,f75_recall_std,f75_f1_mean,f75_f1_std,cal_precision_mean,cal_precision_std,cal_recall_mean,cal_recall_std,cal_f1_mean,cal_f1_std,cal_threshold_mean,cal_threshold_std
mig,mig,2,2,0.7694274891774893,0.09912342939608429,0.6655114387647387,0.11239862730485212,0.33323252688172045,0.008642788404869031,0.62,0.1251482133249969,0.6278618113912231,0.09561499610012535,0.6036363636363636,0.19390151145169213,0.5997828282828283,0.1154240283829691,0.5592611555111555,0.11017980416993224,0.7,0.17158045656838872,0.6105620953359935,0.10290067526380087,0.47200000000000014,0.11942454614618485
mig,mig,2,3,0.751103896103896,0.10833246202701009,0.673477913139422,0.11512588644238136,0.33323252688172045,0.008642788404869031,0.6509090909090909,0.09103022232978711,0.6153463203463203,0.17679531103016563,0.4954545454545454,0.22669623855062693,0.531206194831178,0.19644517366820105,0.5869580419580419,0.07882412378231056,0.6799999999999999,0.12240323852224916,0.6255596137907352,0.08623565791784978,0.524,0.060221812216726525
mig,mig,2,4,0.758896103896104,0.1207228081434119,0.7293303537532976,0.12595661115298934,0.33323252688172045,0.008642788404869031,0.6318181818181817,0.14982389417373013,0.6758508158508157,0.17959326928541472,0.5354545454545455,0.16671900004811438,0.5804872810368167,0.13825704444396397,0.5616828922711276,0.09536828224055452,0.6418181818181818,0.21965830380750148,0.5858008911166805,0.12458956237037144,0.534,0.18584342274554083
mig,mig,5,0,0.7175942684766216,0.08399789230335523,0.4616879376220499,0.11307668862098037,0.1666062300118355,0.00561806401293685,0.42727272727272725,0.1015942703893346,0.41328149920255186,0.1429197026272054,0.40727272727272723,0.16085172749123522,0.39268611847922197,0.11753380955141852,0.39140488922841865,0.10118395144031392,0.5727272727272728,0.1833270722697476,0.4580020703933747,0.11279867641704712,0.531,0.07781031065639342
mig,mig,5,1,0.7323234608528726,0.10318218509179658,0.48281695159149357,0.17215185316077622,0.1666062300118355,0.00561806401293685,0.4545454545454546,0.14708680120620118,0.4464353946706888,0.19559617520927755,0.4172727272727273,0.21612880898968198,0.41375303872329044,0.18065624469150277,0.42412417647711764,0.17067577556268754,0.5245454545454545,0.18447801922612386,0.4625409991167901,0.16423117799665726,0.5900000000000001,0.13800161029656305
mig,mig,5,2,0.7748392293980529,0.07876430302824511,0.5158786930363676,0.1267077035424236,0.1666062300118355,0.00561806401293685,0.5045454545454545,0.11955303966411432,0.4500088881706529,0.12292990693360091,0.42000000000000004,0.17028038240435175,0.4125036432261496,0.10710057666909945,0.4551426024955436,0.14167234251775956,0.5554545454545454,0.14965218321571683,0.48839386344649494,0.11613605074548257,0.5660000000000001,0.04948624949305503
mig,mig,5,3,0.7608341903194844,0.1033228533777516,0.5242022253175619,0.14716552330927213,0.1666062300118355,0.00561806401293685,0.4845454545454545,0.1320217863313313,0.47670024420024415,0.1519809727118648,0.5309090909090909,0.1832869963981856,0.48481264129839835,0.14908153341180747,0.38302318295739346,0.10292826387291638,0.5809090909090908,0.17525791043453823,0.45485319550784437,0.1261624706504793,0.4780000000000001,0.10464755664185917
mig,mig,5,4,0.7510054161524751,0.1013849249840886,0.5329535433655808,0.13173598824872515,0.1666062300118355,0.00561806401293685,0.5063636363636365,0.08550073971723678,0.5152012774806892,0.18316408936371006,0.5536363636363636,0.24809466779301773,0.4721075859006893,0.12879805768091251,0.43827986378497885,0.08919731664771932,0.630909090909091,0.17350701194935117,0.5044402944971338,0.0782450616578808,0.5300000000000001,0.16451950239004093
mig,mig,10,0,0.6982921447484555,0.09474819860999052,0.33059115818957985,0.12341345376001385,0.0908942710759199,0.003862267258856056,0.3381818181818182,0.11734748224232767,0.33559173669467784,0.2651858396188657,0.33545454545454545,0.1738374740994748,0.28832955932955934,0.13782107203666355,0.2961754877389552,0.10413150167142668,0.4127272727272727,0.14006426440549605,0.3319366126916036,0.10077546499485365,0.5780000000000001,0.1486083592683953
mig,mig,10,1,0.7650794351279787,0.08754610251706267,0.3691946241974452,0.1216073447655959,0.0908942710759199,0.003862267258856056,0.35,0.14019859978944194,0.26660962045636966,0.07390482506956997,0.43909090909090914,0.24227457501143138,0.31861897219896473,0.12305778910701068,0.2467769621682665,0.03910929681104409,0.5381818181818182,0.19183517565586466,0.33332164971251665,0.06827751316422159,0.5600000000000002,0.09201449161228178
mig,mig,10,2,0.7512003530450132,0.06795168171500582,0.37575001885153186,0.07904709683369887,0.0908942710759199,0.003862267258856056,0.3781818181818182,0.09478601873707804,0.33213477698771815,0.07637654158837587,0.34090909090909094,0.151044724249474,0.32300926558821297,0.10128596018428447,0.3083075335397317,0.09080473899170242,0.46454545454545454,0.1088760510413476,0.3670459674089438,0.09114100167041138,0.6210000000000001,0.06008327554319921
mig,mig,10,3,0.7440864960282436,0.08785148824751694,0.40640486562345374,0.10201841892714406,0.0908942710759199,0.003862267258856056,0.3572727272727273,0.1115917062655391,0.4226800976800977,0.24177664729130094,0.31363636363636366,0.172181487525415,0.3119733774996932,0.0987473897366978,0.3473755411255411,0.12736278905237783,0.41090909090909095,0.15113892684087565,0.34909853028868076,0.095227150611485,0.6040000000000002,0.09430447143870402
mig,mig,10,4,0.7318843777581641,0.09459141353306583,0.384848519785542,0.10474128729732878,0.0908942710759199,0.003862267258856056,0.35,0.10376299192887231,0.4211866564807741,0.23650082780538603,0.47727272727272724,0.16246776893042658,0.39930542519536827,0.08254679780888653,0.31910478765338096,0.10551615045787484,0.5154545454545454,0.150484372520269,0.382334519203445,0.09383980128953748,0.6250000000000001,0.08605553762283727
mig,mig,20,0,0.7009973521624007,0.08282262822092916,0.2388427585749487,0.09415635403073243,0.0476147806792968,0.002122961547558619,0.22363636363636363,0.09032133229217766,0.20302893398161942,0.06734454387951484,0.30363636363636365,0.15333453107688863,0.23009012338424104,0.08566597083909401,0.1988977688977689,0.06992319322317175,0.3236363636363636,0.1585170023585197,0.23911149961149963,0.09055912552246644,0.7240000000000003,0.06834552736727631
mig,mig,20,1,0.7115975286849072,0.10256758267442269,0.22921492669092197,0.0794432649295617,0.0476147806792968,0.002122961547558619,0.25181818181818183,0.11330659221062046,0.2097544122544123,0.10875604677755811,0.3236363636363636,0.16302917651970833,0.24601085941623024,0.11541328179129974,0.1972417990358099,0.07944004438528986,0.39,0.11918378674533227,0.25306711267157517,0.08578704459586067,0.6440000000000002,0.0830261003138973
mig,mig,20,2,0.7385878199470433,0.12325616907775948,0.24384620584272812,0.09675202067423803,0.0476147806792968,0.002122961547558619,0.24272727272727274,0.10497714999085286,0.19534621578099837,0.08387515818557977,0.35,0.21501275935402564,0.24199843817755537,0.12075479119391858,0.18221611721611722,0.08029299062486395,0.3790909090909091,0.23284285324377768,0.24027426798171114,0.11612304872292672,0.6910000000000002,0.09097618736057624
mig,mig,20,3,0.7221579876434245,0.11465300760127248,0.2673521557985882,0.08092048550689948,0.0476147806792968,0.002122961547558619,0.25181818181818183,0.09161844461646024,0.2747221324427207,0.12340812157547129,0.32,0.13116697382709125,0.2684816077919526,0.08537773626753595,0.22050554473894274,0.07681105199200629,0.34,0.1475356177132533,0.2583796179192599,0.09099493593839927,0.7010000000000003,0.10577229210798914
